Freq.	I(R1)	abs(V(n001))/abs(I(R1))
1.44543977074592e+004	4.45361349223697e-004,9.42720222036147e-003	1.05957836743118e+003,0.00000000000000e+000
1.47910838816820e+004	4.68075147429048e-004,9.66406037227751e-003	1.03355014843792e+003,0.00000000000000e+000
1.51356124843620e+004	4.92036336698579e-004,9.90773432612620e-003	1.00807015424162e+003,0.00000000000000e+000
1.54881661891248e+004	5.17322425734333e-004,1.01584838143485e-002	9.83124892340457e+002,0.00000000000000e+000
1.58489319246111e+004	5.44016646266105e-004,1.04165828906961e-002	9.58701155176155e+002,0.00000000000000e+000
1.62181009735893e+004	5.72208465779935e-004,1.06823209949706e-002	9.34786013257350e+002,0.00000000000000e+000
1.65958690743756e+004	6.01994155189743e-004,1.09560041140282e-002	9.11366808442800e+002,0.00000000000000e+000
1.69824365246174e+004	6.33477418305170e-004,1.12379560491459e-002	8.88431147382340e+002,0.00000000000000e+000
1.73780082874937e+004	6.66770090922898e-004,1.15285198010589e-002	8.65966895113623e+002,0.00000000000000e+000
1.77827941003892e+004	7.01992918498646e-004,1.18280590853526e-002	8.43962168813072e+002,0.00000000000000e+000
1.81970085860998e+004	7.39276422670539e-004,1.21369599924545e-002	8.22405331699703e+002,0.00000000000000e+000
1.86208713666286e+004	7.78761868434810e-004,1.24556328082543e-002	8.01284987090879e+002,0.00000000000000e+000
1.90546071796324e+004	8.20602345561700e-004,1.27845140134095e-002	7.80589972609436e+002,0.00000000000000e+000
1.94984459975804e+004	8.64963979931058e-004,1.31240684817213e-002	7.60309354542047e+002,0.00000000000000e+000
1.99526231496887e+004	9.12027292921343e-004,1.34747919006204e-002	7.40432422349201e+002,0.00000000000000e+000
2.04173794466952e+004	9.61988729872764e-004,1.38372134398581e-002	7.20948683327713e+002,0.00000000000000e+000
2.08929613085403e+004	1.01506238205022e-003,1.42118986980018e-002	7.01847857427353e+002,0.00000000000000e+000
2.13796208950222e+004	1.07148193055833e-003,1.45994529603731e-002	6.83119872223888e+002,0.00000000000000e+000
2.18776162394954e+004	1.13150284543580e-003,1.50005248067215e-002	6.64754858051688e+002,0.00000000000000e+000
2.23872113856833e+004	1.19540487883500e-003,1.54158101123091e-002	6.46743143300011e+002,0.00000000000000e+000
2.29086765276777e+004	1.26349489796596e-003,1.58460564923103e-002	6.29075249878254e+002,0.00000000000000e+000
2.34422881531991e+004	1.33611011158758e-003,1.62920682466551e-002	6.11741888856726e+002,0.00000000000000e+000
2.39883291901948e+004	1.41362175355497e-003,1.67547118708423e-002	5.94733956291112e+002,0.00000000000000e+000
2.45470891568502e+004	1.49643929864281e-003,1.72349222080216e-002	5.78042529240582e+002,0.00000000000000e+000
2.51188643150957e+004	1.58501530001385e-003,1.77337093290459e-002	5.61658861991687e+002,0.00000000000000e+000
2.57039578276885e+004	1.67985095485643e-003,1.82521662405129e-002	5.45574382502747e+002,0.00000000000000e+000
2.63026799189537e+004	1.78150252558804e-003,1.87914775364085e-002	5.29780689086482e+002,0.00000000000000e+000
2.69153480392691e+004	1.89058876951633e-003,1.93529291272409e-002	5.14269547352321e+002,0.00000000000000e+000
2.75422870333816e+004	2.00779956110685e-003,1.99379192020172e-002	4.99032887434215e+002,0.00000000000000e+000
2.81838293126444e+004	2.13390592948704e-003,2.05479706036509e-002	4.84062801535070e+002,0.00000000000000e+000
2.88403150312660e+004	2.26977178138353e-003,2.11847448280973e-002	4.69351541825410e+002,0.00000000000000e+000
2.95120922666637e+004	2.41636763874716e-003,2.18500578925228e-002	4.54891518741655e+002,0.00000000000000e+000
3.01995172040200e+004	2.57478679397023e-003,2.25458983590906e-002	4.40675299739028e+002,0.00000000000000e+000
3.09029543251358e+004	2.74626437787845e-003,2.32744478496198e-002	4.26695608565888e+002,0.00000000000000e+000
3.16227766016837e+004	2.93219995185733e-003,2.40381044437484e-002	4.12945325140810e+002,0.00000000000000e+000
3.23593656929627e+004	3.13418438247256e-003,2.48395094207671e-002	3.99417486131812e+002,0.00000000000000e+000
3.31131121482590e+004	3.35403194391626e-003,2.56815778846040e-002	3.86105286359665e+002,0.00000000000000e+000
3.38844156139201e+004	3.59381883271138e-003,2.65675339042240e-002	3.73002081175434e+002,0.00000000000000e+000
3.46736850452530e+004	3.85592958658929e-003,2.75009509095821e-002	3.60101389998116e+002,0.00000000000000e+000
3.54813389233574e+004	4.14311329718204e-003,2.84857982075520e-002	3.47396901243390e+002,0.00000000000000e+000
3.63078054770100e+004	4.45855202373934e-003,2.95264946234405e-002	3.34882478932308e+002,0.00000000000000e+000
3.71535229097171e+004	4.80594449281669e-003,3.06279704306668e-002	3.22552171342919e+002,0.00000000000000e+000
3.80189396320560e+004	5.18960906209772e-003,3.17957388997496e-002	3.10400222163837e+002,0.00000000000000e+000
3.89045144994279e+004	5.61461111158156e-003,3.30359789681906e-002	2.98421084733835e+002,0.00000000000000e+000
3.98107170553496e+004	6.08692160844692e-003,3.43556306858500e-002	2.86609440115711e+002,0.00000000000000e+000
4.07380277804111e+004	6.61361572155095e-003,3.57625051899897e-002	2.74960219969858e+002,0.00000000000000e+000
4.16869383470334e+004	7.20312324695487e-003,3.72654109458544e-002	2.63468635482588e+002,0.00000000000000e+000
4.26579518801591e+004	7.86554654356772e-003,3.88742977393492e-002	2.52130213993852e+002,0.00000000000000e+000
4.36515832240164e+004	8.61306709041310e-003,4.06004192318175e-002	2.40940845497786e+002,0.00000000000000e+000
4.46683592150961e+004	9.46046926882755e-003,4.24565134444507e-002	2.29896841913931e+002,0.00000000000000e+000
4.57088189614873e+004	1.04258204121828e-002,4.44569977475072e-002	2.18995013029365e+002,0.00000000000000e+000
4.67735141287196e+004	1.15313607993101e-002,4.66181697780751e-002	2.08232764413012e+002,0.00000000000000e+000
4.78630092322636e+004	1.28046778800933e-002,4.89583964475813e-002	1.97608224582814e+002,0.00000000000000e+000
4.89778819368444e+004	1.42802681400891e-002,5.14982567659801e-002	1.87120411533485e+002,0.00000000000000e+000
5.01187233627270e+004	1.60016311358910e-002,5.42605752174141e-002	1.76769452815668e+002,0.00000000000000e+000
5.12861383991362e+004	1.80240979936280e-002,5.72702313186494e-002	1.66556879320645e+002,0.00000000000000e+000
5.24807460249770e+004	2.04186765926792e-002,6.05535407029722e-002	1.56486021729485e+002,0.00000000000000e+000
5.37031796370250e+004	2.32773027334191e-002,6.41368428969792e-002	1.46562551717441e+002,0.00000000000000e+000
5.49540873857622e+004	2.67200203013102e-002,6.80436455329664e-002	1.36795229756343e+002,0.00000000000000e+000
5.62341325190346e+004	3.09047536736812e-002,7.22891645999797e-002	1.27196951227350e+002,0.00000000000000e+000
5.75439937337154e+004	3.60404051127087e-002,7.68701896909088e-002	1.17786227714614e+002,0.00000000000000e+000
5.88843655355586e+004	4.24037787600789e-002,8.17465943459374e-002	1.08589307891892e+002,0.00000000000000e+000
6.02559586074355e+004	5.03596851562436e-002,8.68080509371153e-002	9.96432403017191e+001,0.00000000000000e+000
6.16595001861479e+004	6.03799753737610e-002,9.18150975251076e-002	9.10003115729884e+001,0.00000000000000e+000
6.30957344480190e+004	7.30476201170997e-002,9.62978558121159e-002	8.27344357687522e+001,0.00000000000000e+000
6.45654229034652e+004	8.90090335231737e-002,9.93923670454214e-002	7.49501147959589e+001,0.00000000000000e+000
6.60693448007593e+004	1.08791206265861e-001,9.96106396740285e-002	6.77941857524575e+001,0.00000000000000e+000
6.76082975391979e+004	1.32333234051892e-001,9.46257504773190e-002	6.14688208195542e+001,0.00000000000000e+000
6.91830970918933e+004	1.58087017080999e-001,8.13957376722525e-002	5.62394730268004e+001,0.00000000000000e+000
7.07945784384134e+004	1.81945331657358e-001,5.73082441957033e-002	5.24226398057724e+001,0.00000000000000e+000
7.24435960074987e+004	1.97374909638151e-001,2.27450541681724e-002	5.03319055517709e+001,0.00000000000000e+000
